Date	Site	Colony	Local	Caste	No_ants	No_parasitized_ants	A_attophilus	A_vicosae	 N_erthali	M_grandicornis
30-mai.-18	PAL	3	trail	soldier	194	1	0	0	1	0
30-mai.-18	PAL	3	trail	worker	545	14	13	0	1	0
30-mai.-18	PAL	3	mound	soldier	84	0	0	0	0	0
30-mai.-18	PAL	3	mound	worker	214	0	0	0	0	0
30-mai.-18	PAL	4	trail	soldier	149	0	0	0	0	0
30-mai.-18	PAL	4	trail	worker	227	2	0	0	2	0
30-mai.-18	PAL	4	mound	soldier	13	0	0	0	0	0
30-mai.-18	PAL	4	mound	worker	351	0	0	0	0	0
30-mai.-18	PAL	5	trail	soldier	17	0	0	0	0	0
30-mai.-18	PAL	5	trail	worker	227	4	0	0	4	0
30-mai.-18	PAL	5	mound	soldier	11	0	0	0	0	0
30-mai.-18	PAL	5	mound	worker	70	0	0	0	0	0
30-mai.-18	PAL	6	trail	soldier	288	0	0	0	0	0
30-mai.-18	PAL	6	trail	worker	323	3	1	0	2	0
30-mai.-18	PAL	6	mound	soldier	156	0	0	0	0	0
30-mai.-18	PAL	6	mound	worker	204	0	0	0	0	0
30-mai.-18	PAL	7	trail	soldier	124	0	0	0	0	0
30-mai.-18	PAL	7	trail	worker	395	8	3	0	5	0
30-mai.-18	PAL	7	mound	soldier	135	0	0	0	0	0
30-mai.-18	PAL	7	mound	worker	396	0	0	0	0	0
26-jun.-18	EMB	8	trail	soldier	88	0	0	0	0	0
26-jun.-18	EMB	8	trail	worker	79	1	1	0	0	0
26-jun.-18	EMB	8	mound	soldier	37	0	0	0	0	0
26-jun.-18	EMB	8	mound	worker	88	0	0	0	0	0
26-jun.-18	EMB	9	trail	soldier	32	0	0	0	0	0
26-jun.-18	EMB	9	trail	worker	78	0	0	0	0	0
26-jun.-18	EMB	9	mound	soldier	26	0	0	0	0	0
26-jun.-18	EMB	9	mound	worker	52	0	0	0	0	0
26-jun.-18	EMB	10	trail	soldier	75	1	0	0	1	0
26-jun.-18	EMB	10	trail	worker	191	4	1	1	1	1
26-jun.-18	EMB	10	mound	soldier	46	2	0	0	2	0
26-jun.-18	EMB	10	mound	worker	62	0	0	0	0	0
26-jun.-18	EMB	11	trail	soldier	125	0	0	0	0	0
26-jun.-18	EMB	11	trail	worker	68	2	1	0	0	1
26-jun.-18	EMB	11	mound	soldier	143	0	0	0	0	0
26-jun.-18	EMB	11	mound	worker	81	1	0	0	1	0
26-jun.-18	EMB	12	trail	soldier	102	0	0	0	0	0
26-jun.-18	EMB	12	trail	worker	215	34	27	0	6	1
26-jun.-18	EMB	12	mound	soldier	36	0	0	0	0	0
26-jun.-18	EMB	12	mound	worker	78	0	0	0	0	0
26-jun.-18	EMB	13	trail	soldier	57	0	0	0	0	0
26-jun.-18	EMB	13	trail	worker	101	1	1	0	0	0
26-jun.-18	EMB	13	mound	soldier	21	0	0	0	0	0
26-jun.-18	EMB	13	mound	worker	69	0	0	0	0	0
24-jul.-18	EMB	8	trail	soldier	45	0	0	0	0	0
24-jul.-18	EMB	8	trail	worker	104	1	1	0	0	0
24-jul.-18	EMB	8	mound	soldier	13	0	0	0	0	0
24-jul.-18	EMB	8	mound	worker	57	0	0	0	0	0
24-jul.-18	EMB	9	trail	soldier	31	0	0	0	0	0
24-jul.-18	EMB	9	trail	worker	69	0	0	0	0	0
24-jul.-18	EMB	9	mound	soldier	11	0	0	0	0	0
24-jul.-18	EMB	9	mound	worker	47	0	0	0	0	0
24-jul.-18	EMB	10	trail	soldier	34	0	0	0	0	0
24-jul.-18	EMB	10	trail	worker	129	1	1	0	0	0
24-jul.-18	EMB	10	mound	soldier	49	0	0	0	0	0
24-jul.-18	EMB	10	mound	worker	119	0	0	0	0	0
24-jul.-18	EMB	11	trail	soldier	82	0	0	0	0	0
24-jul.-18	EMB	11	trail	worker	114	5	1	1	3	0
24-jul.-18	EMB	11	mound	soldier	112	0	0	0	0	0
24-jul.-18	EMB	11	mound	worker	46	0	0	0	0	0
24-jul.-18	EMB	12	trail	soldier	40	0	0	0	0	0
24-jul.-18	EMB	12	trail	worker	242	7	4	0	3	0
24-jul.-18	EMB	12	mound	soldier	32	0	0	0	0	0
24-jul.-18	EMB	12	mound	worker	56	0	0	0	0	0
24-jul.-18	EMB	13	trail	soldier	13	0	0	0	0	0
24-jul.-18	EMB	13	trail	worker	43	0	0	0	0	0
24-jul.-18	EMB	13	mound	soldier	24	0	0	0	0	0
24-jul.-18	EMB	13	mound	worker	58	0	0	0	0	0
6-ago.-18	EMB	8	trail	worker	283	1	1	0	0	0
6-ago.-18	EMB	8	trail	worker	435	162	151	4	7	0
6-ago.-18	EMB	9	trail	soldier	23	0	0	0	0	0
6-ago.-18	EMB	9	trail	worker	134	0	0	0	0	0
6-ago.-18	EMB	10	trail	soldier	54	0	0	0	0	0
6-ago.-18	EMB	10	trail	worker	260	1	0	1	0	0
6-ago.-18	EMB	10	mound	soldier	46	0	0	0	0	0
6-ago.-18	EMB	10	mound	worker	137	0	0	0	0	0
6-ago.-18	EMB	11	trail	soldier	88	0	0	0	0	0
6-ago.-18	EMB	11	trail	worker	110	5	4	1	0	0
6-ago.-18	EMB	11	mound	soldier	112	0	0	0	0	0
6-ago.-18	EMB	11	mound	worker	178	0	0	0	0	0
6-ago.-18	EMB	12	trail	soldier	24	0	0	0	0	0
6-ago.-18	EMB	12	trail	worker	13	1	0	0	1	0
6-ago.-18	EMB	12	mound	soldier	15	0	0	0	0	0
6-ago.-18	EMB	12	mound	worker	28	0	0	0	0	0
6-ago.-18	EMB	13	trail	soldier	17	0	0	0	0	0
6-ago.-18	EMB	13	trail	worker	39	0	0	0	0	0
6-ago.-18	EMB	13	mound	soldier	12	0	0	0	0	0
6-ago.-18	EMB	13	mound	worker	56	0	0	0	0	0
