id	node_type	date	site	colony	local	caste	n_ants	n_parasitized	prevalence
2018-04-02|PAL|4|trail|worker|r1	sample	2018-04-02	PAL	4	trail	worker	194	3	1.546
2018-04-02|PAL|4|mound|soldier|r1	sample	2018-04-02	PAL	4	mound	soldier	68	0	0
2018-04-02|PAL|4|mound|worker|r1	sample	2018-04-02	PAL	4	mound	worker	123	0	0
2018-05-16|PAL|1|trail|soldier|r1	sample	2018-05-16	PAL	1	trail	soldier	10	0	0
2018-05-16|PAL|1|trail|worker|r1	sample	2018-05-16	PAL	1	trail	worker	325	5	1.538
2018-05-16|PAL|1|mound|soldier|r1	sample	2018-05-16	PAL	1	mound	soldier	22	0	0
2018-05-16|PAL|1|mound|worker|r1	sample	2018-05-16	PAL	1	mound	worker	487	0	0
2018-05-16|PAL|2|trail|soldier|r1	sample	2018-05-16	PAL	2	trail	soldier	72	0	0
2018-05-16|PAL|2|trail|worker|r1	sample	2018-05-16	PAL	2	trail	worker	368	5	1.359
2018-05-16|PAL|2|mound|soldier|r1	sample	2018-05-16	PAL	2	mound	soldier	91	0	0
2018-05-16|PAL|2|mound|worker|r1	sample	2018-05-16	PAL	2	mound	worker	196	0	0
2018-05-16|PAL|3|trail|soldier|r1	sample	2018-05-16	PAL	3	trail	soldier	152	1	0.658
2018-05-16|PAL|3|trail|worker|r1	sample	2018-05-16	PAL	3	trail	worker	389	87	22.365
2018-05-16|PAL|3|mound|soldier|r1	sample	2018-05-16	PAL	3	mound	soldier	26	0	0
2018-05-16|PAL|3|mound|worker|r1	sample	2018-05-16	PAL	3	mound	worker	476	0	0
2018-05-16|PAL|5|trail|soldier|r1	sample	2018-05-16	PAL	5	trail	soldier	66	0	0
2018-05-16|PAL|5|trail|worker|r1	sample	2018-05-16	PAL	5	trail	worker	157	1	0.637
2018-05-16|PAL|5|mound|soldier|r1	sample	2018-05-16	PAL	5	mound	soldier	81	0	0
2018-05-16|PAL|5|mound|worker|r1	sample	2018-05-16	PAL	5	mound	worker	122	0	0
2018-05-16|PAL|6|trail|soldier|r1	sample	2018-05-16	PAL	6	trail	soldier	127	0	0
2018-05-16|PAL|6|trail|worker|r1	sample	2018-05-16	PAL	6	trail	worker	124	1	0.806
2018-05-16|PAL|6|mound|soldier|r1	sample	2018-05-16	PAL	6	mound	soldier	205	0	0
2018-05-16|PAL|6|mound|worker|r1	sample	2018-05-16	PAL	6	mound	worker	85	0	0
2018-05-16|PAL|7|trail|soldier|r1	sample	2018-05-16	PAL	7	trail	soldier	68	0	0
2018-05-16|PAL|7|trail|worker|r1	sample	2018-05-16	PAL	7	trail	worker	37	2	5.405
2018-05-16|PAL|7|mound|soldier|r1	sample	2018-05-16	PAL	7	mound	soldier	90	0	0
2018-05-16|PAL|7|mound|worker|r1	sample	2018-05-16	PAL	7	mound	worker	270	0	0
2018-05-30|PAL|1|trail|soldier|r1	sample	2018-05-30	PAL	1	trail	soldier	58	0	0
2018-05-30|PAL|1|trail|worker|r1	sample	2018-05-30	PAL	1	trail	worker	468	5	1.068
2018-05-30|PAL|1|mound|soldier|r1	sample	2018-05-30	PAL	1	mound	soldier	45	0	0
2018-05-30|PAL|1|mound|worker|r1	sample	2018-05-30	PAL	1	mound	worker	94	0	0
2018-05-30|PAL|2|trail|soldier|r1	sample	2018-05-30	PAL	2	trail	soldier	25	0	0
2018-05-30|PAL|2|trail|worker|r1	sample	2018-05-30	PAL	2	trail	worker	77	1	1.299
2018-05-30|PAL|2|mound|soldier|r1	sample	2018-05-30	PAL	2	mound	soldier	55	0	0
2018-05-30|PAL|2|mound|worker|r1	sample	2018-05-30	PAL	2	mound	worker	343	0	0
2018-05-30|PAL|3|trail|soldier|r1	sample	2018-05-30	PAL	3	trail	soldier	194	1	0.515
2018-05-30|PAL|3|trail|worker|r1	sample	2018-05-30	PAL	3	trail	worker	545	14	2.569
2018-05-30|PAL|3|mound|soldier|r1	sample	2018-05-30	PAL	3	mound	soldier	84	0	0
2018-05-30|PAL|3|mound|worker|r1	sample	2018-05-30	PAL	3	mound	worker	214	0	0
2018-05-30|PAL|4|trail|soldier|r1	sample	2018-05-30	PAL	4	trail	soldier	149	0	0
2018-05-30|PAL|4|trail|worker|r1	sample	2018-05-30	PAL	4	trail	worker	227	2	0.881
2018-05-30|PAL|4|mound|soldier|r1	sample	2018-05-30	PAL	4	mound	soldier	13	0	0
2018-05-30|PAL|4|mound|worker|r1	sample	2018-05-30	PAL	4	mound	worker	351	0	0
2018-05-30|PAL|5|trail|soldier|r1	sample	2018-05-30	PAL	5	trail	soldier	17	0	0
2018-05-30|PAL|5|trail|worker|r1	sample	2018-05-30	PAL	5	trail	worker	227	4	1.762
2018-05-30|PAL|5|mound|soldier|r1	sample	2018-05-30	PAL	5	mound	soldier	11	0	0
